CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Avjet Corporation,LAX,"Los Angeles, CA",United States,CPH,"Copenhagen, Denmark",Denmark,TRUE,21
Federal Express Corporation,LAX,"Los Angeles, CA",United States,ROC,"Rochester, NY",United States,FALSE,1
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,YUM,"Yuma, AZ",United States,TRUE,1
Air Canada,LAX,"Los Angeles, CA",United States,YUL,"Montreal, Canada",Canada,TRUE,23
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),LAX,"Los Angeles, CA",United States,AGU,"Aguascalientes, Mexico",Mexico,TRUE,21
Air Canada,LAX,"Los Angeles, CA",United States,CPS,"St. Louis, MO",United States,TRUE,4
United Air Lines Inc.,LAX,"Los Angeles, CA",United States,SIN,"Singapore, Singapore",Singapore,TRUE,3
Comlux Aruba NV,LAX,"Los Angeles, CA",United States,AGP,"Malaga, Spain",Spain,TRUE,1
"Mokulele Flight Services, Inc.",LAX,"Los Angeles, CA",United States,BWC,"Brawley, CA",United States,TRUE,1
ACM AIR CHARTER GmbH,LAX,"Los Angeles, CA",United States,BWI,"Baltimore, MD",United States,TRUE,90
"Xiamen Airlines Co., Ltd.",LAX,"Los Angeles, CA",United States,TAO,"Qingdao, China",China,TRUE,1
VistaJet Limited,LAX,"Los Angeles, CA",United States,GIG,"Rio de Janeiro, Brazil",Brazil,TRUE,2
Virgin Atlantic Airways,LAX,"Los Angeles, CA",United States,LHR,"London, United Kingdom",United Kingdom,TRUE,86
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,SNA,"Santa Ana, CA",United States,TRUE,27
Lufthansa German Airlines,LAX,"Los Angeles, CA",United States,SNN,"Shannon, Ireland",Ireland,FALSE,1
VistaJet Limited,LAX,"Los Angeles, CA",United States,MAD,"Madrid, Spain",Spain,TRUE,18
Southwest Airlines Co.,LAX,"Los Angeles, CA",United States,MAF,"Midland/Odessa, TX",United States,TRUE,1
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,LAP,"La Paz, Mexico",Mexico,TRUE,4
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,LAR,"Laramie, WY",United States,TRUE,1
Lufthansa German Airlines,LAX,"Los Angeles, CA",United States,MAN,"Manchester, United Kingdom",United Kingdom,FALSE,19
Horizon Air,LAX,"Los Angeles, CA",United States,GUC,"Gunnison, CO",United States,TRUE,3
ABX Air Inc,LAX,"Los Angeles, CA",United States,GUA,"Guatemala City, Guatemala",Guatemala,FALSE,32
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,CMH,"Columbus, OH",United States,TRUE,37
Western Global,LAX,"Los Angeles, CA",United States,BEG,"Belgrade, Serbia",Serbia,FALSE,1
Polar Air Cargo Airways,LAX,"Los Angeles, CA",United States,GUM,"Guam, TT",United States,FALSE,9
Federal Express Corporation,LAX,"Los Angeles, CA",United States,DTW,"Detroit, MI",United States,FALSE,76
Avjet Corporation,LAX,"Los Angeles, CA",United States,GRU,"Sao Paulo, Brazil",Brazil,TRUE,17
Sun Country Airlines d/b/a MN Airlines,LAX,"Los Angeles, CA",United States,GRR,"Grand Rapids, MI",United States,TRUE,2
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,FTW,"Dallas/Fort Worth, TX",United States,TRUE,1
Southwest Airlines Co.,LAX,"Los Angeles, CA",United States,DSM,"Des Moines, IA",United States,TRUE,8
Allegiant Air,LAX,"Los Angeles, CA",United States,BLI,"Bellingham, WA",United States,TRUE,12
Cargolux Airlines International S.A,LAX,"Los Angeles, CA",United States,MXP,"Milan, Italy",Italy,FALSE,13
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,HLN,"Helena, MT",United States,TRUE,1
Avjet Corporation,LAX,"Los Angeles, CA",United States,OKC,"Oklahoma City, OK",United States,TRUE,39
Federal Express Corporation,LAX,"Los Angeles, CA",United States,IND,"Indianapolis, IN",United States,FALSE,111
London Air Services Limited,LAX,"Los Angeles, CA",United States,YYJ,"Victoria, Canada",Canada,TRUE,2
Hainan Airlines Company Limited,LAX,"Los Angeles, CA",United States,CTU,"Chengdu, China",China,TRUE,15
Qatar Airways (Q.C.S.C),LAX,"Los Angeles, CA",United States,DOH,"Doha, Qatar",Qatar,TRUE,12
Cargologicair Limited,LAX,"Los Angeles, CA",United States,VBG,"Lompoc, CA",United States,FALSE,1
VistaJet Limited,LAX,"Los Angeles, CA",United States,DOL,"Deauville, France",France,TRUE,1
VistaJet Limited,LAX,"Los Angeles, CA",United States,CTS,"Sapporo, Japan",Japan,TRUE,2
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,EIS,"Road Town, British Virgin Islands",British Virgin Islands,TRUE,1
American Airlines Inc.,LAX,"Los Angeles, CA",United States,BZE,"Belize City, Belize",Belize,TRUE,24
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,AKL,"Auckland, New Zealand",New Zealand,FALSE,35
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,BZN,"Bozeman, MT",United States,TRUE,26
Western Global,LAX,"Los Angeles, CA",United States,DOV,"Dover, DE",United States,FALSE,3
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,LFI,"Newport News/Hampton, VA",United States,FALSE,1
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,FCA,"Kalispell, MT",United States,TRUE,9
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,MDW,"Chicago, IL",United States,TRUE,31
American Airlines Inc.,LAX,"Los Angeles, CA",United States,MDT,"Harrisburg, PA",United States,TRUE,8
Norwegian Air Shuttle ASA,LAX,"Los Angeles, CA",United States,FCO,"Rome, Italy",Italy,TRUE,12
Etihad Airways,LAX,"Los Angeles, CA",United States,AUH,"Abu Dhabi, United Arab Emirates",United Arab Emirates,TRUE,12
United Parcel Service,LAX,"Los Angeles, CA",United States,DFW,"Dallas/Fort Worth, TX",United States,FALSE,160
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,AUS,"Austin, TX",United States,FALSE,135
Blue Jet SP Z o o,LAX,"Los Angeles, CA",United States,MVD,"Montevideo, Uruguay",Uruguay,TRUE,1
Saudi Arabian Airlines Corp,LAX,"Los Angeles, CA",United States,JED,"Jeddah, Saudi Arabia",Saudi Arabia,TRUE,12
Alaska Airlines Inc.,LAX,"Los Angeles, CA",United States,LTO,"Loreto, Mexico",Mexico,TRUE,49
VistaJet Limited,LAX,"Los Angeles, CA",United States,LTN,"London, United Kingdom",United Kingdom,TRUE,4
"Mokulele Flight Services, Inc.",LAX,"Los Angeles, CA",United States,SBP,"San Luis Obispo, CA",United States,TRUE,16
Etihad Airways,LAX,"Los Angeles, CA",United States,EDI,"Edinburgh, United Kingdom",United Kingdom,TRUE,1
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,SBA,"Santa Barbara, CA",United States,TRUE,22
Horizon Air,LAX,"Los Angeles, CA",United States,MMH,"Mammoth Lakes, CA",United States,TRUE,12
London Air Services Limited,LAX,"Los Angeles, CA",United States,SBD,"San Bernardino, CA",United States,TRUE,1
American Airlines Inc.,LAX,"Los Angeles, CA",United States,ORF,"Norfolk, VA",United States,TRUE,2
AirBridgeCargo Airlines Limited,LAX,"Los Angeles, CA",United States,ORD,"Chicago, IL",United States,FALSE,221
United Air Lines Inc.,LAX,"Los Angeles, CA",United States,SBN,"South Bend, IN",United States,TRUE,1
Korean Air Lines Co. Ltd.,LAX,"Los Angeles, CA",United States,PUS,"Busan, South Korea",South Korea,FALSE,1
Kalitta Air LLC,LAX,"Los Angeles, CA",United States,KOA,"Kona, HI",United States,FALSE,64
China Southern Airlines,LAX,"Los Angeles, CA",United States,CAN,"Guangzhou, China",China,FALSE,36
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,VPS,"Valparaiso, FL",United States,TRUE,1
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,HIF,"Ogden, UT",United States,FALSE,1
CFM Inc d/b/a Contour Airlines,LAX,"Los Angeles, CA",United States,HII,"Lake Havasu City, AZ",United States,TRUE,1
Federal Express Corporation,LAX,"Los Angeles, CA",United States,ONT,"Ontario, CA",United States,FALSE,20
"Swift Air, LLC",LAX,"Los Angeles, CA",United States,STL,"St. Louis, MO",United States,TRUE,52
Titan Airways,LAX,"Los Angeles, CA",United States,STN,"London, United Kingdom",United Kingdom,TRUE,2
Federal Express Corporation,LAX,"Los Angeles, CA",United States,ABQ,"Albuquerque, NM",United States,FALSE,74
Air Atlanta Icelandic,LAX,"Los Angeles, CA",United States,STR,"Stuttgart, Germany",Germany,FALSE,1
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,STS,"Santa Rosa, CA",United States,TRUE,13
