CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Federal Express Corporation,JFK,"New York, NY",United States,OAK,"Oakland, CA",United States,False,15
Norwegian Air Shuttle ASA,CPH,"Copenhagen, Denmark",Denmark,OAK,"Oakland, CA",United States,True,9
"Swift Air, LLC",MIA,"Miami, FL",United States,OAK,"Oakland, CA",United States,True,3
JetBlue Airways,BOS,"Boston, MA",United States,OAK,"Oakland, CA",United States,True,5
Hawaiian Airlines Inc.,LIH,"Lihue, HI",United States,OAK,"Oakland, CA",United States,True,17
USA Jet Airlines Inc.,DRT,"Del Rio, TX",United States,OAK,"Oakland, CA",United States,False,2
Federal Express Corporation,BOI,"Boise, ID",United States,OAK,"Oakland, CA",United States,False,32
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),TIJ,"Tijuana, Mexico",Mexico,OAK,"Oakland, CA",United States,True,7
Avjet Corporation,CPR,"Casper, WY",United States,OAK,"Oakland, CA",United States,True,1
Avjet Corporation,EGE,"Eagle, CO",United States,OAK,"Oakland, CA",United States,True,1
Federal Express Corporation,SAN,"San Diego, CA",United States,OAK,"Oakland, CA",United States,False,48
Federal Express Corporation,SAC,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False,1
Spirit Air Lines,BWI,"Baltimore, MD",United States,OAK,"Oakland, CA",United States,True,27
Miami Air International,PIT,"Pittsburgh, PA",United States,OAK,"Oakland, CA",United States,True,1
Federal Express Corporation,UXK,"Petaluma, CA",United States,OAK,"Oakland, CA",United States,False,12
"Jet Aviation Flight Services, Inc.",VNY,"Van Nuys, CA",United States,OAK,"Oakland, CA",United States,True,5
Federal Express Corporation,SAT,"San Antonio, TX",United States,OAK,"Oakland, CA",United States,False,4
Atlas Air Inc.,IAH,"Houston, TX",United States,OAK,"Oakland, CA",United States,True,18
Nolinor Aviation,YVR,"Vancouver, Canada",Canada,OAK,"Oakland, CA",United States,False,5
Avjet Corporation,BFI,"Seattle, WA",United States,OAK,"Oakland, CA",United States,True,7
Norwegian Air Shuttle ASA,BCN,"Barcelona, Spain",Spain,OAK,"Oakland, CA",United States,True,18
"Swift Air, LLC",BNA,"Nashville, TN",United States,OAK,"Oakland, CA",United States,True,24
Avjet Corporation,JAC,"Jackson, WY",United States,OAK,"Oakland, CA",United States,True,1
Federal Express Corporation,KIX,"Osaka, Japan",Japan,OAK,"Oakland, CA",United States,False,24
Delta Air Lines Inc.,SNA,"Santa Ana, CA",United States,OAK,"Oakland, CA",United States,True,20
Allegiant Air,LAF,"Lafayette, IN",United States,OAK,"Oakland, CA",United States,True,1
United Parcel Service,PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,False,20
Miami Air International,YEG,"Edmonton, Canada",Canada,OAK,"Oakland, CA",United States,True,1
CFM Inc d/b/a Contour Airlines,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True,21
Federal Express Corporation,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False,106
Miami Air International,NAS,"Nassau, The Bahamas",The Bahamas,OAK,"Oakland, CA",United States,True,1
CFM Inc d/b/a Contour Airlines,APA,"Denver, CO",United States,OAK,"Oakland, CA",United States,True,1
Avjet Corporation,LAS,"Las Vegas, NV",United States,OAK,"Oakland, CA",United States,True,97
Avjet Corporation,CMH,"Columbus, OH",United States,OAK,"Oakland, CA",United States,True,21
Federal Express Corporation,GJT,"Grand Junction, CO",United States,OAK,"Oakland, CA",United States,False,1
"KaiserAir, Inc.",BED,"Bedford, MA",United States,OAK,"Oakland, CA",United States,True,1
Federal Express Corporation,DEN,"Denver, CO",United States,OAK,"Oakland, CA",United States,False,62
Avjet Corporation,BZN,"Bozeman, MT",United States,OAK,"Oakland, CA",United States,True,2
Delta Air Lines Inc.,DTW,"Detroit, MI",United States,OAK,"Oakland, CA",United States,True,16
Federal Express Corporation,VIS,"Visalia, CA",United States,OAK,"Oakland, CA",United States,False,16
Avjet Corporation,BUR,"Burbank, CA",United States,OAK,"Oakland, CA",United States,True,63
Avjet Corporation,SCF,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,True,3
Federal Express Corporation,MFR,"Medford, OR",United States,OAK,"Oakland, CA",United States,False,2
Federal Express Corporation,GEG,"Spokane, WA",United States,OAK,"Oakland, CA",United States,False,34
Norwegian Air Shuttle ASA,OSL,"Oslo, Norway",Norway,OAK,"Oakland, CA",United States,True,10
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,False,148
JetBlue Airways,BUF,"Buffalo, NY",United States,OAK,"Oakland, CA",United States,True,1
Avjet Corporation,CMA2,"Camarillo, CA",United States,OAK,"Oakland, CA",United States,True,1
United Parcel Service,DSM,"Des Moines, IA",United States,OAK,"Oakland, CA",United States,False,3
Allegiant Air,BLI,"Bellingham, WA",United States,OAK,"Oakland, CA",United States,True,12
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False,5
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False,26
Federal Express Corporation,AFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False,16
"Jet Aviation Flight Services, Inc.",PBI,"West Palm Beach/Palm Beach, FL",United States,OAK,"Oakland, CA",United States,True,2
Federal Express Corporation,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False,55
USA Jet Airlines Inc.,LRD,"Laredo, TX",United States,OAK,"Oakland, CA",United States,False,5
USA Jet Airlines Inc.,ANB,"Anniston, AL",United States,OAK,"Oakland, CA",United States,False,2
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False,27
Delta Air Lines Inc.,OKC,"Oklahoma City, OK",United States,OAK,"Oakland, CA",United States,True,2
Delta Air Lines Inc.,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,True,59
USA Jet Airlines Inc.,BTL,"Battle Creek, MI",United States,OAK,"Oakland, CA",United States,False,1
