CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,JFK,"New York, NY",United States,True,13
Norwegian Air Shuttle ASA,OAK,"Oakland, CA",United States,CPH,"Copenhagen, Denmark",Denmark,True,9
"Swift Air, LLC",OAK,"Oakland, CA",United States,ROC,"Rochester, NY",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,MIA,"Miami, FL",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,BOS,"Boston, MA",United States,True,6
Hawaiian Airlines Inc.,OAK,"Oakland, CA",United States,LIH,"Lihue, HI",United States,True,17
USA Jet Airlines Inc.,OAK,"Oakland, CA",United States,DRT,"Del Rio, TX",United States,False,1
Federal Express Corporation,OAK,"Oakland, CA",United States,BOI,"Boise, ID",United States,False,35
CFM Inc d/b/a Contour Airlines,OAK,"Oakland, CA",United States,YUL,"Montreal, Canada",Canada,True,1
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),OAK,"Oakland, CA",United States,TIJ,"Tijuana, Mexico",Mexico,True,7
Federal Express Corporation,OAK,"Oakland, CA",United States,SAN,"San Diego, CA",United States,False,61
Allegiant Air,OAK,"Oakland, CA",United States,MFR,"Medford, OR",United States,True,1
Spirit Air Lines,OAK,"Oakland, CA",United States,BWI,"Baltimore, MD",United States,True,34
Federal Express Corporation,OAK,"Oakland, CA",United States,PIT,"Pittsburgh, PA",United States,False,1
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,VNY,"Van Nuys, CA",United States,True,5
Federal Express Corporation,OAK,"Oakland, CA",United States,SAT,"San Antonio, TX",United States,False,4
Atlas Air Inc.,OAK,"Oakland, CA",United States,IAH,"Houston, TX",United States,True,19
Federal Express Corporation,OAK,"Oakland, CA",United States,YVR,"Vancouver, Canada",Canada,False,6
Avjet Corporation,OAK,"Oakland, CA",United States,IAD,"Washington, DC",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,BFI,"Seattle, WA",United States,True,8
Hawaiian Airlines Inc.,OAK,"Oakland, CA",United States,BNA,"Nashville, TN",United States,True,22
Avjet Corporation,OAK,"Oakland, CA",United States,JAC,"Jackson, WY",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,SNA,"Santa Ana, CA",United States,True,22
Norwegian Air Shuttle ASA,OAK,"Oakland, CA",United States,BCN,"Barcelona, Spain",Spain,True,18
United Parcel Service,OAK,"Oakland, CA",United States,PHL,"Philadelphia, PA",United States,False,18
Federal Express Corporation,OAK,"Oakland, CA",United States,VIS,"Visalia, CA",United States,False,16
Federal Express Corporation,OAK,"Oakland, CA",United States,PHX,"Phoenix, AZ",United States,False,94
Federal Express Corporation,OAK,"Oakland, CA",United States,LAX,"Los Angeles, CA",United States,False,152
Federal Express Corporation,OAK,"Oakland, CA",United States,SNS,"Salinas/Monterey, CA",United States,False,2
London Air Services Limited,OAK,"Oakland, CA",United States,APC,"Napa, CA",United States,True,1
CFM Inc d/b/a Contour Airlines,OAK,"Oakland, CA",United States,APA,"Denver, CO",United States,True,1
Miami Air International,OAK,"Oakland, CA",United States,LAF,"Lafayette, IN",United States,True,1
Federal Express Corporation,OAK,"Oakland, CA",United States,LAS,"Las Vegas, NV",United States,False,112
Federal Express Corporation,OAK,"Oakland, CA",United States,QQN,"Woodlake, CA",United States,False,2
Avjet Corporation,OAK,"Oakland, CA",United States,CMH,"Columbus, OH",United States,True,22
Eastern Airlines Group Inc.,OAK,"Oakland, CA",United States,BED,"Bedford, MA",United States,True,1
JetBlue Airways,OAK,"Oakland, CA",United States,FLL,"Fort Lauderdale, FL",United States,True,1
Federal Express Corporation,OAK,"Oakland, CA",United States,DEN,"Denver, CO",United States,False,56
Avjet Corporation,OAK,"Oakland, CA",United States,BZN,"Bozeman, MT",United States,True,1
Norwegian Air Shuttle ASA,OAK,"Oakland, CA",United States,EDI,"Edinburgh, United Kingdom",United Kingdom,True,1
USA Jet Airlines Inc.,OAK,"Oakland, CA",United States,DTW,"Detroit, MI",United States,False,17
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,PTK,"Pontiac, MI",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,SFO,"San Francisco, CA",United States,True,9
Avjet Corporation,OAK,"Oakland, CA",United States,BUR,"Burbank, CA",United States,True,58
Avjet Corporation,OAK,"Oakland, CA",United States,SCF,"Phoenix, AZ",United States,True,2
Atlas Air Inc.,OAK,"Oakland, CA",United States,SZX,"Shenzhen, China",China,True,1
Federal Express Corporation,OAK,"Oakland, CA",United States,GEG,"Spokane, WA",United States,False,31
Norwegian Air Shuttle ASA,OAK,"Oakland, CA",United States,OSL,"Oslo, Norway",Norway,True,9
Hawaiian Airlines Inc.,OAK,"Oakland, CA",United States,BUF,"Buffalo, NY",United States,True,1
Allegiant Air,OAK,"Oakland, CA",United States,BLI,"Bellingham, WA",United States,True,12
"Swift Air, LLC",OAK,"Oakland, CA",United States,ENV,"Wendover, UT",United States,True,1
United Parcel Service,OAK,"Oakland, CA",United States,RFD,"Rockford, IL",United States,False,3
Federal Express Corporation,OAK,"Oakland, CA",United States,EWR,"Newark, NJ",United States,False,42
Federal Express Corporation,OAK,"Oakland, CA",United States,AFW,"Dallas/Fort Worth, TX",United States,False,15
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,PBI,"West Palm Beach/Palm Beach, FL",United States,True,2
Federal Express Corporation,OAK,"Oakland, CA",United States,RNO,"Reno, NV",United States,False,45
Ameristar Air Cargo,OAK,"Oakland, CA",United States,LRD,"Laredo, TX",United States,False,3
Federal Express Corporation,OAK,"Oakland, CA",United States,ANC,"Anchorage, AK",United States,False,25
Avjet Corporation,OAK,"Oakland, CA",United States,OPF,"Miami, FL",United States,True,1
Federal Express Corporation,OAK,"Oakland, CA",United States,HLI,"Hollister, CA",United States,False,2
Federal Express Corporation,OAK,"Oakland, CA",United States,VWD,"Hanford, CA",United States,False,2
Avjet Corporation,OAK,"Oakland, CA",United States,PSP,"Palm Springs, CA",United States,True,6
Federal Express Corporation,OAK,"Oakland, CA",United States,LCK,"Columbus, OH",United States,False,1
Miami Air International,OAK,"Oakland, CA",United States,COS,"Colorado Springs, CO",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,ATL,"Atlanta, GA",United States,True,28
Federal Express Corporation,OAK,"Oakland, CA",United States,HNL,"Honolulu, HI",United States,False,59
Sun Country Airlines d/b/a MN Airlines,OAK,"Oakland, CA",United States,ACT,"Waco, TX",United States,True,1
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,SMF,"Sacramento, CA",United States,True,17
Allegiant Air,OAK,"Oakland, CA",United States,IDA,"Idaho Falls, ID",United States,True,4
London Air Services Limited,OAK,"Oakland, CA",United States,YXX,"Abbotsford, Canada",Canada,True,2
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),OAK,"Oakland, CA",United States,PVR,"Puerto Vallarta, Mexico",Mexico,True,12
"KaiserAir, Inc.",OAK,"Oakland, CA",United States,LNY,"Lanai, HI",United States,True,1
United Parcel Service,OAK,"Oakland, CA",United States,MHR,"Sacramento, CA",United States,False,12
Avjet Corporation,OAK,"Oakland, CA",United States,TEB,"Teterboro, NJ",United States,True,3
Allegiant Air,OAK,"Oakland, CA",United States,FCA,"Kalispell, MT",United States,True,3
Allegiant Air,OAK,"Oakland, CA",United States,PVU,"Provo, UT",United States,True,13
Avjet Corporation,OAK,"Oakland, CA",United States,ECS,"Newcastle, WY",United States,True,1
Federal Express Corporation,OAK,"Oakland, CA",United States,SEA,"Seattle, WA",United States,False,144
