CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
"Jet Aviation Flight Services, Inc.",PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,True
"Jet Aviation Flight Services, Inc.",CUN,"Cancun, Mexico",Mexico,OAK,"Oakland, CA",United States,True
Federal Express Corporation,AFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ATL,"Atlanta, GA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,BOI,"Boise, ID",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,True
Ameristar Air Cargo,ABQ,"Albuquerque, NM",United States,OAK,"Oakland, CA",United States,False
Northern Air Cargo Inc.,LRD,"Laredo, TX",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,CVG,"Cincinnati, OH",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,HOU,"Houston, TX",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SAN,"San Diego, CA",United States,OAK,"Oakland, CA",United States,True
Federal Express Corporation,AFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ANC,"Anchorage, AK",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,BOI,"Boise, ID",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,FAT,"Fresno, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,HNL,"Honolulu, HI",United States,OAK,"Oakland, CA",United States,False
