CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Delta Air Lines Inc.,JFK,"New York, NY",United States,SAN,"San Diego, CA",United States,True,63
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",MIA,"Miami, FL",United States,SAN,"San Diego, CA",United States,True,27
Alaska Airlines Inc.,BOS,"Boston, MA",United States,SAN,"San Diego, CA",United States,True,38
Federal Express Corporation,OAK,"Oakland, CA",United States,SAN,"San Diego, CA",United States,False,61
Southwest Airlines Co.,BOI,"Boise, ID",United States,SAN,"San Diego, CA",United States,True,26
"Jet Aviation Flight Services, Inc.",CPR,"Casper, WY",United States,SAN,"San Diego, CA",United States,True,1
Miami Air International,EGE,"Eagle, CO",United States,SAN,"San Diego, CA",United States,True,1
Southwest Airlines Co.,DCA,"Washington, DC",United States,SAN,"San Diego, CA",United States,True,1
Alaska Airlines Inc.,BWI,"Baltimore, MD",United States,SAN,"San Diego, CA",United States,True,59
United Air Lines Inc.,PIT,"Pittsburgh, PA",United States,SAN,"San Diego, CA",United States,True,1
"Jet Aviation Flight Services, Inc.",VNY,"Van Nuys, CA",United States,SAN,"San Diego, CA",United States,True,1
Federal Express Corporation,SAT,"San Antonio, TX",United States,SAN,"San Diego, CA",United States,False,33
United Air Lines Inc.,IAH,"Houston, TX",United States,SAN,"San Diego, CA",United States,True,76
London Air Services Limited,YVR,"Vancouver, Canada",Canada,SAN,"San Diego, CA",United States,True,47
Delta Air Lines Inc.,IAD,"Washington, DC",United States,SAN,"San Diego, CA",United States,True,40
Atlas Air Inc.,BFI,"Seattle, WA",United States,SAN,"San Diego, CA",United States,True,1
SkyWest Airlines Inc.,OMA,"Omaha, NE",United States,SAN,"San Diego, CA",United States,True,6
"Jet Aviation Flight Services, Inc.",JAN,"Jackson/Vicksburg, MS",United States,SAN,"San Diego, CA",United States,True,1
British Airways Plc,LHR,"London, United Kingdom",United Kingdom,SAN,"San Diego, CA",United States,True,15
