CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Atlas Air Inc.,JFK,"New York, NY",United States,SFO,"San Francisco, CA",United States,False,81
Scandinavian Airlines Sys.,CPH,"Copenhagen, Denmark",Denmark,SFO,"San Francisco, CA",United States,True,13
China Airlines Ltd.,MIA,"Miami, FL",United States,SFO,"San Francisco, CA",United States,False,55
Atlas Air Inc.,LIM,"Lima, Peru",Peru,SFO,"San Francisco, CA",United States,False,1
"Jet Aviation Flight Services, Inc.",BOS,"Boston, MA",United States,SFO,"San Francisco, CA",United States,True,88
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,SFO,"San Francisco, CA",United States,True,9
SkyWest Airlines Inc.,BOI,"Boise, ID",United States,SFO,"San Francisco, CA",United States,True,33
United Air Lines Inc.,PVG,"Shanghai, China",China,SFO,"San Francisco, CA",United States,True,50
CFM Inc d/b/a Contour Airlines,YUL,"Montreal, Canada",Canada,SFO,"San Francisco, CA",United States,True,21
United Air Lines Inc.,CUN,"Cancun, Mexico",Mexico,SFO,"San Francisco, CA",United States,True,36
Delta Air Lines Inc.,CPS,"St. Louis, MO",United States,SFO,"San Francisco, CA",United States,True,3
United Air Lines Inc.,SIN,"Singapore, Singapore",Singapore,SFO,"San Francisco, CA",United States,True,24
SkyWest Airlines Inc.,EGE,"Eagle, CO",United States,SFO,"San Francisco, CA",United States,True,1
Delta Air Lines Inc.,SAN,"San Diego, CA",United States,SFO,"San Francisco, CA",United States,True,131
Taca International Airlines,SAL,"San Salvador, El Salvador",El Salvador,SFO,"San Francisco, CA",United States,True,25
"Jet Aviation Flight Services, Inc.",HSH,"Las Vegas, NV",United States,SFO,"San Francisco, CA",United States,True,1
DCA,SAF,"Santa Fe, NM",United States,SFO,"San Francisco, CA",United States,True,1
United Air Lines Inc.,DCA,"Washington, DC",United States,SFO,"San Francisco, CA",United States,True,41
"Jet Aviation Flight Services, Inc.",RIL,"Rifle, CO",United States,SFO,"San Francisco, CA",United States,True,1
VistaJet Limited,LBG,"Paris, France",France,SFO,"San Francisco, CA",United States,True,2
VistaJet Limited,BGI,"Barbados/Bridgetown, Barbados",Barbados,SFO,"San Francisco, CA",United States,True,1
United Air Lines Inc.,BWI,"Baltimore, MD",United States,SFO,"San Francisco, CA",United States,True,39
China Eastern Airlines,TAO,"Qingdao, China",China,SFO,"San Francisco, CA",United States,True,12
