CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
Lynden Air Cargo Airlines,SFO,"San Francisco, CA",United States,SJD,"San Jose del Cabo, Mexico",Mexico,FALSE
CFM Inc d/b/a Contour Airlines,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,TRUE
Alaska Airlines Inc.,SFO,"San Francisco, CA",United States,SEA,"Seattle, WA",United States,TRUE
China Airlines Ltd.,SFO,"San Francisco, CA",United States,TPE,"Taipei, Taiwan",Taiwan,FALSE
Korean Air Lines Co. Ltd.,SFO,"San Francisco, CA",United States,ICN,"Seoul, South Korea",South Korea,FALSE
Korean Air Lines Co. Ltd.,SFO,"San Francisco, CA",United States,ICN,"Seoul, South Korea",South Korea,FALSE
Federal Express Corporation,SFO,"San Francisco, CA",United States,MEM,"Memphis, TN",United States,FALSE
Federal Express Corporation,SFO,"San Francisco, CA",United States,MEM,"Memphis, TN",United States,FALSE
Kalitta Air LLC,SFO,"San Francisco, CA",United States,ANC,"Anchorage, AK",United States,FALSE
Kalitta Air LLC,SFO,"San Francisco, CA",United States,ICN,"Seoul, South Korea",South Korea,FALSE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,ATL,"Atlanta, GA",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,SAN,"San Diego, CA",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,SAN,"San Diego, CA",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,ATL,"Atlanta, GA",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,ATL,"Atlanta, GA",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,DAL,"Dallas, TX",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,LAS,"Las Vegas, NV",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,MTJ,"Montrose/Delta, CO",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,TRUE
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,BNA,"Nashville, TN",United States,TRUE
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,LAX,"Los Angeles, CA",United States,TRUE
Asiana Airlines Inc.,SFO,"San Francisco, CA",United States,ICN,"Seoul, South Korea",South Korea,FALSE
Philippine Airlines Inc.,SFO,"San Francisco, CA",United States,SJU,"San Juan, PR",United States,TRUE
Atlas Air Inc.,SFO,"San Francisco, CA",United States,CVG,"Cincinnati, OH",United States,FALSE
Atlas Air Inc.,SFO,"San Francisco, CA",United States,IND,"Indianapolis, IN",United States,FALSE
Atlas Air Inc.,SFO,"San Francisco, CA",United States,LAX,"Los Angeles, CA",United States,FALSE
Atlas Air Inc.,SFO,"San Francisco, CA",United States,ICN,"Seoul, South Korea",South Korea,FALSE
Nippon Cargo Airlines,SFO,"San Francisco, CA",United States,NRT,"Tokyo, Japan",Japan,FALSE
Eva Airways Corporation,SFO,"San Francisco, CA",United States,ANC,"Anchorage, AK",United States,FALSE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,DEN,"Denver, CO",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,TRUE
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,PDX,"Portland, OR",United States,TRUE
Horizon Air,SFO,"San Francisco, CA",United States,ABQ,"Albuquerque, NM",United States,TRUE
