CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
JetBlue Airways,SFO,"San Francisco, CA",United States,JFK,"New York, NY",United States,True,76
Scandinavian Airlines Sys.,SFO,"San Francisco, CA",United States,CPH,"Copenhagen, Denmark",Denmark,True,13
United Air Lines Inc.,SFO,"San Francisco, CA",United States,CKG,"Chongqing, China",China,True,1
American Airlines Inc.,SFO,"San Francisco, CA",United States,ROC,"Rochester, NY",United States,True,1
Sky Lease Cargo,SFO,"San Francisco, CA",United States,MIA,"Miami, FL",United States,False,52
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,BOS,"Boston, MA",United States,True,94
CFM Inc d/b/a Contour Airlines,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True,21
Aeromexico,SFO,"San Francisco, CA",United States,ACA,"Acapulco, Mexico",Mexico,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,BOI,"Boise, ID",United States,True,35
Air Canada,SFO,"San Francisco, CA",United States,YUL,"Montreal, Canada",Canada,True,19
United Air Lines Inc.,SFO,"San Francisco, CA",United States,CUN,"Cancun, Mexico",Mexico,True,36
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,CPS,"St. Louis, MO",United States,True,1
United Air Lines Inc.,SFO,"San Francisco, CA",United States,ELP,"El Paso, TX",United States,True,1
American Airlines Inc.,SFO,"San Francisco, CA",United States,GSO,"Greensboro/High Point, NC",United States,True,2
DCA,SFO,"San Francisco, CA",United States,OQU,"Waterkloof, South Africa",South Africa,True,1
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,SAN,"San Diego, CA",United States,True,131
Blue Jet SP Z o o,SFO,"San Francisco, CA",United States,SXF,"Berlin, Germany",Germany,True,1
Taca International Airlines,SFO,"San Francisco, CA",United States,SAL,"San Salvador, El Salvador",El Salvador,True,25
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,SAC,"Sacramento, CA",United States,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,SPS,"Wichita Falls, TX",United States,True,1
Virgin America,SFO,"San Francisco, CA",United States,DCA,"Washington, DC",United States,True,42
Klm Royal Dutch Airlines,SFO,"San Francisco, CA",United States,AMS,"Amsterdam, Netherlands",Netherlands,False,32
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,ASE,"Aspen, CO",United States,True,9
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,HSV,"Huntsville, AL",United States,True,4
Unijet,SFO,"San Francisco, CA",United States,LBG,"Paris, France",France,True,1
American Airlines Inc.,SFO,"San Francisco, CA",United States,BWI,"Baltimore, MD",United States,True,37
China Eastern Airlines,SFO,"San Francisco, CA",United States,TAO,"Qingdao, China",China,True,12
Miami Air International,SFO,"San Francisco, CA",United States,PIT,"Pittsburgh, PA",United States,True,38
Atlas Air Inc.,SFO,"San Francisco, CA",United States,HKG,"Hong Kong, Hong Kong",Hong Kong,False,39
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,VNY,"Van Nuys, CA",United States,True,5
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,SAT,"San Antonio, TX",United States,True,26
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,CHA,"Chattanooga, TN",United States,True,1
China Airlines Ltd.,SFO,"San Francisco, CA",United States,TPE,"Taipei, Taiwan",Taiwan,False,48
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,IAH,"Houston, TX",United States,True,100
London Air Services Limited,SFO,"San Francisco, CA",United States,YVR,"Vancouver, Canada",Canada,True,123
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,IAD,"Washington, DC",United States,True,105
London Air Services Limited,SFO,"San Francisco, CA",United States,BFI,"Seattle, WA",United States,True,4
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,SBP,"San Luis Obispo, CA",United States,True,12
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,BFL,"Bakersfield, CA",United States,True,27
United Air Lines Inc.,SFO,"San Francisco, CA",United States,CHS,"Charleston, SC",United States,True,1
British Airways Plc,SFO,"San Francisco, CA",United States,LHR,"London, United Kingdom",United Kingdom,True,84
United Air Lines Inc.,SFO,"San Francisco, CA",United States,XIY,"Xi'an, China",China,True,8
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,BNA,"Nashville, TN",United States,True,51
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,JAC,"Jackson, WY",United States,True,14
Sun Country Airlines d/b/a MN Airlines,SFO,"San Francisco, CA",United States,MZT,"Mazatlan, Mexico",Mexico,True,4
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,XNA,"Fayetteville, AR",United States,True,16
United Air Lines Inc.,SFO,"San Francisco, CA",United States,KIX,"Osaka, Japan",Japan,True,21
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,SNA,"Santa Ana, CA",United States,True,79
Sun Country Airlines d/b/a MN Airlines,SFO,"San Francisco, CA",United States,HUX,"Santa Cruz/Huatulco, Mexico",Mexico,True,2
Miami Air International,SFO,"San Francisco, CA",United States,LAF,"Lafayette, IN",United States,True,1
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,PHL,"Philadelphia, PA",United States,True,93
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,YEG,"Edmonton, Canada",Canada,True,2
American Airlines Inc.,SFO,"San Francisco, CA",United States,SYR,"Syracuse, NY",United States,True,3
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,PHX,"Phoenix, AZ",United States,True,135
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,LAX,"Los Angeles, CA",United States,True,228
VistaJet Limited,SFO,"San Francisco, CA",United States,MAD,"Madrid, Spain",Spain,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,MAF,"Midland/Odessa, TX",United States,True,1
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,APC,"Napa, CA",United States,True,2
China Southern Airlines,SFO,"San Francisco, CA",United States,WUH,"Wuhan, China",China,False,12
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,LAS,"Las Vegas, NV",United States,True,149
United Air Lines Inc.,SFO,"San Francisco, CA",United States,CMH,"Columbus, OH",United States,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,GJT,"Grand Junction, CO",United States,True,4
VistaJet Limited,SFO,"San Francisco, CA",United States,NGO,"Nagoya, Japan",Japan,True,2
Aer Lingus Plc,SFO,"San Francisco, CA",United States,DUB,"Dublin, Ireland",Ireland,True,12
Philippine Airlines Inc.,SFO,"San Francisco, CA",United States,GUM,"Guam, TT",United States,True,2
National Aviation Company of India Limited d/b/a Air India,SFO,"San Francisco, CA",United States,DEL,"Delhi, India",India,True,17
Virgin America,SFO,"San Francisco, CA",United States,FLL,"Fort Lauderdale, FL",United States,True,56
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,DEN,"Denver, CO",United States,True,199
United Air Lines Inc.,SFO,"San Francisco, CA",United States,BZN,"Bozeman, MT",United States,True,24
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,HDN,"Hayden, CO",United States,True,4
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,DTW,"Detroit, MI",United States,True,71
