CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
"Jet Aviation Flight Services, Inc.",APC,"Napa, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,SJC,"San Jose, CA",United States,True
Chartright Air Inc.,SFO,"San Francisco, CA",United States,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMH,"Columbus, OH",United States,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",OAK,"Oakland, CA",United States,SJC,"San Jose, CA",United States,True
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
SkyWest Airlines Inc.,PDX,"Portland, OR",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,SJC,"San Jose, CA",United States,True
"ADVANCED AIR, LLC",OAK,"Oakland, CA",United States,SJC,"San Jose, CA",United States,True
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Avjet Corporation,BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,LUK,"Cincinnati, OH",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",ASE,"Aspen, CO",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",PHX,"Phoenix, AZ",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",PVR,"Puerto Vallarta, Mexico",Mexico,SJC,"San Jose, CA",United States,True
Avjet Corporation,BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Chartright Air Inc.,YYZ,"Toronto, Canada",Canada,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",YWG,"Winnipeg, Canada",Canada,SJC,"San Jose, CA",United States,True
Alaska Airlines Inc.,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,MSP,"Minneapolis, MN",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,ONT,"Ontario, CA",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,SJC,"San Jose, CA",United States,True
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
Federal Express Corporation,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,False
Federal Express Corporation,LBB,"Lubbock, TX",United States,SJC,"San Jose, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,OAK,"Oakland, CA",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Alaska Airlines Inc.,SJD,"San Jose del Cabo, Mexico",Mexico,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,SJC,"San Jose, CA",United States,True
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,SJC,"San Jose, CA",United States,True
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Comlux Aruba NV,LGW,"London, United Kingdom",United Kingdom,SJC,"San Jose, CA",United States,True
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,VNY,"Van Nuys, CA",United States,SJC,"San Jose, CA",United States,True
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Avjet Corporation,NUQ,"Mountain View, CA",United States,SJC,"San Jose, CA",United States,True
Federal Express Corporation,AFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
Gulf And Caribbean Cargo,SWF,"Newburgh/Poughkeepsie, NY",United States,SJC,"San Jose, CA",United States,False
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",YWG,"Winnipeg, Canada",Canada,SJC,"San Jose, CA",United States,True
United Parcel Service,DFW,"Dallas/Fort Worth, TX",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Gulf And Caribbean Cargo,ANB,"Anniston, AL",United States,SJC,"San Jose, CA",United States,False
SkyWest Airlines Inc.,BOI,"Boise, ID",United States,SJC,"San Jose, CA",United States,True
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,SJC,"San Jose, CA",United States,False
Miami Air International,MDW,"Chicago, IL",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,BNA,"Nashville, TN",United States,SJC,"San Jose, CA",United States,True
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
"Jet Aviation Flight Services, Inc.",MDW,"Chicago, IL",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJO,"San Jose, Costa Rica",Costa Rica,SJC,"San Jose, CA",United States,True
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",YEG,"Edmonton, Canada",Canada,SJC,"San Jose, CA",United States,True
Federal Express Corporation,MEM,"Memphis, TN",United States,SJC,"San Jose, CA",United States,False
"Jet Aviation Flight Services, Inc.",BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJO,"San Jose, Costa Rica",Costa Rica,SJC,"San Jose, CA",United States,True
"ADVANCED AIR, LLC",HHR,"Hawthorne, CA",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,VNY,"Van Nuys, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SBA,"Santa Barbara, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SLE,"Salem, OR",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,VNY,"Van Nuys, CA",United States,SJC,"San Jose, CA",United States,True
Chartright Air Inc.,SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
VistaJet Limited,SJO,"San Jose, Costa Rica",Costa Rica,SJC,"San Jose, CA",United States,True
VistaJet Limited,SJO,"San Jose, Costa Rica",Costa Rica,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",BOS,"Boston, MA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",BOS,"Boston, MA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",BED,"Bedford, MA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",BRO,"Brownsville, TX",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",ISM,"Orlando, FL",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",TEB,"Teterboro, NJ",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",C01,"Camarillo, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SUN,"Sun Valley/Hailey/Ketchum, ID",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",TEB,"Teterboro, NJ",United States,SJC,"San Jose, CA",United States,True
VistaJet Limited,LTN,"London, United Kingdom",United Kingdom,SJC,"San Jose, CA",United States,True
VistaJet Limited,BRU,"Brussels, Belgium",Belgium,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",IAD,"Washington, DC",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",HOU,"Houston, TX",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SBA,"Santa Barbara, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SLK,"Saranac Lake/Lake Placid, NY",United States,SJC,"San Jose, CA",United States,True
VistaJet Limited,SJO,"San Jose, Costa Rica",Costa Rica,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,SAT,"San Antonio, TX",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
VistaJet Limited,SXB,"Strasbourg, France",France,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",MKC,"Kansas City, MO",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,OGG,"Kahului, HI",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
"ADVANCED AIR, LLC",MYF,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",AUS,"Austin, TX",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",TEB,"Teterboro, NJ",United States,SJC,"San Jose, CA",United States,True
VistaJet Limited,SJO,"San Jose, Costa Rica",Costa Rica,SJC,"San Jose, CA",United States,True
Avjet Corporation,LAS,"Las Vegas, NV",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",ORL,"Orlando, FL",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",UT1,"Heber, UT",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",VIS,"Visalia, CA",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",VNY,"Van Nuys, CA",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
London Air Services Limited,YYJ,"Victoria, Canada",Canada,SJC,"San Jose, CA",United States,True
VistaJet Limited,LBG,"Paris, France",France,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",HOU,"Houston, TX",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,VNY,"Van Nuys, CA",United States,SJC,"San Jose, CA",United States,True
Avjet Corporation,BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
VistaJet Limited,BCN,"Barcelona, Spain",Spain,SJC,"San Jose, CA",United States,True
VistaJet Limited,SXB,"Strasbourg, France",France,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",AUS,"Austin, TX",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",AUS,"Austin, TX",United States,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJO,"San Jose, Costa Rica",Costa Rica,SJC,"San Jose, CA",United States,True
VistaJet Limited,LTN,"London, United Kingdom",United Kingdom,SJC,"San Jose, CA",United States,True
"Jet Aviation Flight Services, Inc.",CLD,"Carlsbad, CA",United States,SJC,"San Jose, CA",United States,True
